"Name","AppID"
"GTFO","steam://rungameid/493520"
"HELLDIVERS? 2","steam://rungameid/553850"
"Homepage","{6D809377-6AF0-444B-8957-A3773F02200E}\Virtual Audio Cable\homepage.url"
"Hyper-V Manager","Microsoft.AutoGenerated.{7DFC4B93-681D-7B96-03E1-AE81FB7E597A}"
"Hyper-V Quick Create","{6D809377-6AF0-444B-8957-A3773F02200E}\Hyper-V\VMCreate.exe"
"IDLE (Python 3.10)","PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0!Idle"
"IDLE (Python 3.11)","PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0!Idle"
"IDLE (Python 3.12 64-bit)","Microsoft.AutoGenerated.{FF6063AE-E0F7-D2C2-5171-993A8EA71A8D}"
"IDLE (Python 3.9 64-bit)","Microsoft.AutoGenerated.{6F93D0DC-E22B-2075-7780-C12D379CDAE7}"
"IJ Network Scanner Selector EX","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Canon\IJ Network Scanner Selector EX\CNMNSST.exe"
"IJ Network Tool","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Canon\Canon IJ Network Tool\CNMNPUT.EXE"
"IJ Scan Utility","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Canon\IJ Scan Utility\SCANUTILITY.exe"
"Instagram","www.instagram.com-3D2AAE46_ysfa6mcnwr1rw!App"
"Instagram","Facebook.InstagramBeta_8xx8rvfyw5nnt!App"
"Install Additional Tools for Node.js","Microsoft.AutoGenerated.{04770C2D-34E6-BE94-EFAD-FA817237D6E9}"
"Intel? Graphics Command Center","AppUp.IntelGraphicsExperience_8j3eq9eme6ctt!App"
"Intel? Rapid Storage Technology Application","AppUp.IntelOptaneMemoryandStorageManagement_8j3eq9eme6ctt!App"
"Intel? Unison?","AppUp.IntelTechnologyMDE_8j3eq9eme6ctt!App"
"iSCSI Initiator","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\iscsicpl.exe"
"Isonzo","steam://rungameid/1556790"
"iTunes","AppleInc.iTunes_nzyj5cx40ttqa!iTunes"
"Jupyter Notebook (anaconda)","Microsoft.AutoGenerated.{F04DF204-6B2B-6D0B-0C8C-D1B069F82150}"
"Killer Intelligence Center","RivetNetworks.KillerControlCenter_rh07ty8m5nkag!RivetNetworks.KillerControlCenter"
"Killing Floor 2","steam://rungameid/232090"
"LAN560 Configuration Utility","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Blackhawk\Emulation\Drivers\LAN\v2.0.0.6\bhethcfg.exe"
"Lethal Company","steam://rungameid/1966720"
"License (English)","{6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\License_en_US.rtf"
"License Agreement","{6D809377-6AF0-444B-8957-A3773F02200E}\Virtual Audio Cable\license.txt"
"LittleBigMouse","{6D809377-6AF0-444B-8957-A3773F02200E}\LittleBigMouse\LittleBigMouse.Ui.Avalonia.exe"
"Live captions","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\LiveCaptions.exe"
"Local Security Policy","Microsoft.AutoGenerated.{BD3F924E-55FB-A1BA-9DE6-B50F9F2460AC}"
"LockDown Browser","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Respondus\LockDown Browser\LockDownBrowser.exe"
"LTspice","C:\Users\chave\AppData\Local\Programs\ADI\LTspice\LTspice.exe"
"LVGL Project Creator","io.lvgl.project-creator"
"Macro Buttons","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VB\Voicemeeter\VoicemeeterMacroButtons.exe"
"Macro Deck","{6D809377-6AF0-444B-8957-A3773F02200E}\Macro Deck\Macro Deck 2.exe"
