"Name","PackageFullName","Publisher","InstallLocation","LaunchCommand"
"AppUp.IntelOptaneMemoryandStorageManagement","AppUp.IntelOptaneMemoryandStorageManagement_20.0.1019.0_x64__8j3eq9eme6ctt","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3","C:\Program Files\WindowsApps\AppUp.IntelOptaneMemoryandStorageManagement_20.0.1019.0_x64__8j3eq9eme6ctt","shell:AppsFolder\AppUp.IntelOptaneMemoryandStorageManagement_8j3eq9eme6ctt"
"Microsoft.WindowsSoundRecorder","Microsoft.WindowsSoundRecorder_1.0.80.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.WindowsSoundRecorder_1.0.80.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe"
"Microsoft.WindowsCalculator","Microsoft.WindowsCalculator_11.2411.1.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2411.1.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.WindowsCalculator_8wekyb3d8bbwe"
"Microsoft.ScreenSketch","Microsoft.ScreenSketch_11.2409.25.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2409.25.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.ScreenSketch_8wekyb3d8bbwe"
"MicrosoftCorporationII.WindowsSubsystemForAndroid","MicrosoftCorporationII.WindowsSubsystemForAndroid_2407.40000.4.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\MicrosoftCorporationII.WindowsSubsystemForAndroid_2407.40000.4.0_x64__8wekyb3d8bbwe","shell:AppsFolder\MicrosoftCorporationII.WindowsSubsystemForAndroid_8wekyb3d8bbwe"
"Microsoft.BingWeather","Microsoft.BingWeather_4.54.63007.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.BingWeather_4.54.63007.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.BingWeather_8wekyb3d8bbwe"
"AmazonVideo.PrimeVideo","AmazonVideo.PrimeVideo_1.0.171.0_x64__pwbj9vvecjh7j","CN=CAFC46F7-1785-4D22-8843-62BB23E99ACE","C:\Program Files\WindowsApps\AmazonVideo.PrimeVideo_1.0.171.0_x64__pwbj9vvecjh7j","shell:AppsFolder\AmazonVideo.PrimeVideo_pwbj9vvecjh7j"
"53887HaoCai.AirPlay-ScreenMirroring","53887HaoCai.AirPlay-ScreenMirroring_1.7.5.0_x64__qrw73ppzkf79y","CN=F588CFEA-08D9-4DF0-A72D-0CBC84C67FE4","C:\Program Files\WindowsApps\53887HaoCai.AirPlay-ScreenMirroring_1.7.5.0_x64__qrw73ppzkf79y","shell:AppsFolder\53887HaoCai.AirPlay-ScreenMirroring_qrw73ppzkf79y"
"AppUp.IntelGraphicsExperience","AppUp.IntelGraphicsExperience_1.100.5688.0_x64__8j3eq9eme6ctt","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3","C:\Program Files\WindowsApps\AppUp.IntelGraphicsExperience_1.100.5688.0_x64__8j3eq9eme6ctt","shell:AppsFolder\AppUp.IntelGraphicsExperience_8j3eq9eme6ctt"
"Microsoft.Todos","Microsoft.Todos_0.114.7122.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.Todos_0.114.7122.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.Todos_8wekyb3d8bbwe"
"62269AlexShats.CrosshairZoom","62269AlexShats.CrosshairZoom_1.0.1.0_x64__gghb1w55myjr2","CN=0723B664-F114-4FF2-A229-A6152E660057","C:\Program Files\WindowsApps\62269AlexShats.CrosshairZoom_1.0.1.0_x64__gghb1w55myjr2","shell:AppsFolder\62269AlexShats.CrosshairZoom_gghb1w55myjr2"
"Microsoft.Paint","Microsoft.Paint_11.2411.471.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.Paint_11.2411.471.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.Paint_8wekyb3d8bbwe"
"Microsoft.People","Microsoft.People_10.2202.100.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.People_10.2202.100.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.People_8wekyb3d8bbwe"
"Microsoft.BingNews","Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.BingNews_8wekyb3d8bbwe"
"DTSInc.DTSXUltra","DTSInc.DTSXUltra_1.13.5.0_x64__t5j2fzbtdg37r","CN=82419BD3-B8A7-4FD6-9731-D95DB6175B11","C:\Program Files\WindowsApps\DTSInc.DTSXUltra_1.13.5.0_x64__t5j2fzbtdg37r","shell:AppsFolder\DTSInc.DTSXUltra_t5j2fzbtdg37r"
"61449LiamHall.GameBarBrowser","61449LiamHall.GameBarBrowser_2.0.1.0_x64__9e6jk4mprjbvw","CN=555D21B8-0A4C-477E-8B9B-BEE2FEE87CE2","C:\Program Files\WindowsApps\61449LiamHall.GameBarBrowser_2.0.1.0_x64__9e6jk4mprjbvw","shell:AppsFolder\61449LiamHall.GameBarBrowser_9e6jk4mprjbvw"
"Microsoft.XboxIdentityProvider","Microsoft.XboxIdentityProvider_12.115.1001.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.XboxIdentityProvider_12.115.1001.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.XboxIdentityProvider_8wekyb3d8bbwe"
"AcerIncorporated.AcerPurifiedVoiceConsoleR","AcerIncorporated.AcerPurifiedVoiceConsoleR_2.0.9.0_x64__48frkmn4z8aw4","CN=EAF76292-FADE-4EAB-A62C-FE5E78661D58","C:\Program Files\WindowsApps\AcerIncorporated.AcerPurifiedVoiceConsoleR_2.0.9.0_x64__48frkmn4z8aw4","shell:AppsFolder\AcerIncorporated.AcerPurifiedVoiceConsoleR_48frkmn4z8aw4"
"Microsoft.WindowsMaps","Microsoft.WindowsMaps_1.0.64.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.WindowsMaps_1.0.64.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.WindowsMaps_8wekyb3d8bbwe"
"DTSInc.DTSSoundUnbound","DTSInc.DTSSoundUnbound_2025.1.1.0_x64__t5j2fzbtdg37r","CN=82419BD3-B8A7-4FD6-9731-D95DB6175B11","C:\Program Files\WindowsApps\DTSInc.DTSSoundUnbound_2025.1.1.0_x64__t5j2fzbtdg37r","shell:AppsFolder\DTSInc.DTSSoundUnbound_t5j2fzbtdg37r"
"Microsoft.ZuneMusic","Microsoft.ZuneMusic_11.2412.6.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.ZuneMusic_11.2412.6.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.ZuneMusic_8wekyb3d8bbwe"
"47492CenterpointGaming.ProSight","47492CenterpointGaming.ProSight_10.0.2.0_x64__rz8d8f65gztyc","CN=747CF5E3-AC1C-4505-8387-083BCE1B82DC","C:\Program Files\WindowsApps\47492CenterpointGaming.ProSight_10.0.2.0_x64__rz8d8f65gztyc","shell:AppsFolder\47492CenterpointGaming.ProSight_rz8d8f65gztyc"
"Microsoft.AVCEncoderVideoExtension","Microsoft.AVCEncoderVideoExtension_1.1.9.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.AVCEncoderVideoExtension_1.1.9.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.AVCEncoderVideoExtension_8wekyb3d8bbwe"
